Data;1 - Taxa de câmbio - Livre - Dólar americano (venda) - diário - u.m.c./US$
01/04/2002;2,322
02/04/2002;2,3022
03/04/2002;2,2977
04/04/2002;2,3118
05/04/2002;2,2924
08/04/2002;2,2907
09/04/2002;2,2842
10/04/2002;2,2728
11/04/2002;2,2709
12/04/2002;2,2988
15/04/2002;2,318
16/04/2002;2,3172
17/04/2002;2,3165
18/04/2002;2,3327
19/04/2002;2,3269
22/04/2002;2,3347
23/04/2002;2,3487
24/04/2002;2,3568
25/04/2002;2,3666
26/04/2002;2,3558
29/04/2002;2,3689
30/04/2002;2,3625
02/05/2002;2,377
03/05/2002;2,4149
06/05/2002;2,4327
07/05/2002;2,4174
08/05/2002;2,4341
09/05/2002;2,4519
10/05/2002;2,4838
13/05/2002;2,4952
14/05/2002;2,5154
15/05/2002;2,5117
16/05/2002;2,4799
17/05/2002;2,4763
20/05/2002;2,4737
21/05/2002;2,4787
22/05/2002;2,5016
23/05/2002;2,5296
24/05/2002;2,524
27/05/2002;2,5228
28/05/2002;2,5248
29/05/2002;2,5201
31/05/2002;2,522
03/06/2002;2,5413
04/06/2002;2,5697
05/06/2002;2,6086
06/06/2002;2,6418
07/06/2002;2,6708
10/06/2002;2,6367
11/06/2002;2,6664
12/06/2002;2,7486
13/06/2002;2,6922
14/06/2002;2,7181
17/06/2002;2,6823
18/06/2002;2,67
19/06/2002;2,703
20/06/2002;2,7505
21/06/2002;2,791
24/06/2002;2,8269
25/06/2002;2,7995
26/06/2002;2,8584
27/06/2002;2,8593
28/06/2002;2,8444
01/07/2002;2,8595
02/07/2002;2,9141
03/07/2002;2,8617
04/07/2002;2,8481
05/07/2002;2,8746
08/07/2002;2,8711
09/07/2002;2,8551
10/07/2002;2,8541
11/07/2002;2,8232
12/07/2002;2,8147
15/07/2002;2,8455
16/07/2002;2,8671
17/07/2002;2,8783
18/07/2002;2,8772
19/07/2002;2,8671
22/07/2002;2,8816
23/07/2002;2,9132
24/07/2002;2,9479
25/07/2002;2,9822
26/07/2002;3,0177
29/07/2002;3,1449
30/07/2002;3,2692
31/07/2002;3,4285
01/08/2002;3,3275
02/08/2002;3,0302
05/08/2002;3,0732
06/08/2002;3,207
07/08/2002;3,0598
08/08/2002;2,8883
09/08/2002;2,9964
12/08/2002;3,0979
13/08/2002;3,2094
14/08/2002;3,1965
15/08/2002;3,1912
16/08/2002;3,162
19/08/2002;3,1142
20/08/2002;3,0923
21/08/2002;3,0794
22/08/2002;3,1417
23/08/2002;3,1136
26/08/2002;3,0788
27/08/2002;3,0949
28/08/2002;3,1219
29/08/2002;3,1239
30/08/2002;3,0223
02/09/2002;3,0286
03/09/2002;3,0988
04/09/2002;3,1325
05/09/2002;3,1512
06/09/2002;3,1783
09/09/2002;3,1312
10/09/2002;3,1306
11/09/2002;3,1153
12/09/2002;3,1239
13/09/2002;3,1506
16/09/2002;3,1884
17/09/2002;3,2248
18/09/2002;3,324
19/09/2002;3,3843
20/09/2002;3,4277
23/09/2002;3,5448
24/09/2002;3,6216
25/09/2002;3,7257
26/09/2002;3,7516
27/09/2002;3,8541
30/09/2002;3,8949
01/10/2002;3,7467
02/10/2002;3,5936
03/10/2002;3,6952
04/10/2002;3,6593
07/10/2002;3,6965
08/10/2002;3,7017
09/10/2002;3,852
10/10/2002;3,9228
11/10/2002;3,9235
14/10/2002;3,8613
15/10/2002;3,8567
16/10/2002;3,8744
17/10/2002;3,9245
18/10/2002;3,8759
21/10/2002;3,9125
22/10/2002;3,9552
23/10/2002;3,8704
24/10/2002;3,8617
25/10/2002;3,8015
28/10/2002;3,7406
29/10/2002;3,8211
30/10/2002;3,7443
31/10/2002;3,645
01/11/2002;3,6113
04/11/2002;3,5418
05/11/2002;3,5625
06/11/2002;3,5976
07/11/2002;3,6218
08/11/2002;3,5271
11/11/2002;3,5035
12/11/2002;3,5527
13/11/2002;3,6342
14/11/2002;3,6797
18/11/2002;3,5889
19/11/2002;3,5547
20/11/2002;3,5146
21/11/2002;3,5103
22/11/2002;3,5616
25/11/2002;3,5492
26/11/2002;3,5872
27/11/2002;3,5898
28/11/2002;3,603
29/11/2002;3,6365
02/12/2002;3,616
03/12/2002;3,6625
04/12/2002;3,7049
05/12/2002;3,7514
06/12/2002;3,7526
09/12/2002;3,798
10/12/2002;3,7685
11/12/2002;3,7954
12/12/2002;3,7535
13/12/2002;3,7342
16/12/2002;3,6318
17/12/2002;3,5827
18/12/2002;3,5316
19/12/2002;3,5047
20/12/2002;3,4278
23/12/2002;3,4947
24/12/2002;3,501
26/12/2002;3,5251
27/12/2002;3,5413
30/12/2002;3,5333
31/12/2002;3,5333
02/01/2003;3,5224
03/01/2003;3,4698
06/01/2003;3,3664
07/01/2003;3,3423
08/01/2003;3,3124
09/01/2003;3,3297
10/01/2003;3,2918
13/01/2003;3,2956
14/01/2003;3,2758
15/01/2003;3,2983
16/01/2003;3,2937
17/01/2003;3,3632
20/01/2003;3,4103
21/01/2003;3,4402
22/01/2003;3,5189
23/01/2003;3,4901
24/01/2003;3,5923
27/01/2003;3,6623
28/01/2003;3,6312
29/01/2003;3,6417
30/01/2003;3,5696
31/01/2003;3,5258
03/02/2003;3,493
04/02/2003;3,5406
05/02/2003;3,5845
06/02/2003;3,6045
07/02/2003;3,5802
10/02/2003;3,6042
11/02/2003;3,5737
12/02/2003;3,6003
13/02/2003;3,6359
14/02/2003;3,658
17/02/2003;3,6232
18/02/2003;3,5889
19/02/2003;3,5935
20/02/2003;3,6067
21/02/2003;3,6097
24/02/2003;3,587
25/02/2003;3,6013
26/02/2003;3,5817
27/02/2003;3,585
28/02/2003;3,5632
05/03/2003;3,5637
06/03/2003;3,526
07/03/2003;3,501
10/03/2003;3,5281
11/03/2003;3,5061
12/03/2003;3,4763
13/03/2003;3,4293
14/03/2003;3,3958
17/03/2003;3,4442
18/03/2003;3,4308
19/03/2003;3,4576
20/03/2003;3,483
21/03/2003;3,4462
24/03/2003;3,407
25/03/2003;3,3892
26/03/2003;3,3747
27/03/2003;3,4031
28/03/2003;3,3757
31/03/2003;3,3531
01/04/2003;3,3359
02/04/2003;3,2795
03/04/2003;3,2563
04/04/2003;3,2469
07/04/2003;3,1723
08/04/2003;3,1649
09/04/2003;3,1857
10/04/2003;3,2157
11/04/2003;3,2147
14/04/2003;3,1818
15/04/2003;3,1154
16/04/2003;3,0752
17/04/2003;3,0289
22/04/2003;3,0639
23/04/2003;3,0147
24/04/2003;3,0029
25/04/2003;3,0123
28/04/2003;2,9915
29/04/2003;2,9251
30/04/2003;2,8898
02/05/2003;2,9159
05/05/2003;2,9845
06/05/2003;3,0277
07/05/2003;2,9639
08/05/2003;2,9177
09/05/2003;2,8802
12/05/2003;2,8757
13/05/2003;2,8653
14/05/2003;2,8902
15/05/2003;2,9306
16/05/2003;2,9731
19/05/2003;2,9815
20/05/2003;3,0141
21/05/2003;3,0109
22/05/2003;2,9842
23/05/2003;2,9445
26/05/2003;2,9565
27/05/2003;3,0257
28/05/2003;3,014
29/05/2003;2,9488
30/05/2003;2,9656
02/06/2003;2,978
03/06/2003;2,964
04/06/2003;2,9112
05/06/2003;2,8929
06/06/2003;2,8491
09/06/2003;2,8682
10/06/2003;2,8603
11/06/2003;2,8692
12/06/2003;2,862
13/06/2003;2,857
16/06/2003;2,8508
17/06/2003;2,8744
18/06/2003;2,8902
20/06/2003;2,8933
23/06/2003;2,8788
24/06/2003;2,8616
25/06/2003;2,8559
26/06/2003;2,894
27/06/2003;2,8812
30/06/2003;2,872
01/07/2003;2,8443
02/07/2003;2,8219
03/07/2003;2,8332
04/07/2003;2,8299
07/07/2003;2,8676
08/07/2003;2,8823
09/07/2003;2,8671
10/07/2003;2,8922
11/07/2003;2,9029
14/07/2003;2,8753
