Date,Open,High,Low,Close,Volume,Adj Close
2016-01-01,28.963,28.963,28.963,28.963,000,25.88761
2015-12-31,28.963,28.963,28.963,28.963,000,25.88761
2015-12-30,29.183,29.183,28.677,28.963,12804100,25.88761
2015-12-29,29.26,29.326,28.908,29.062,7280100,25.9761
2015-12-28,29.205,29.392,29.04,29.04,17093200,25.95644
2015-12-25,29.15,29.15,29.15,29.15,000,26.05476
2015-12-24,29.15,29.15,29.15,29.15,000,26.05476
2015-12-23,29.799,29.799,28.941,29.15,11873000,26.05476
2015-12-22,29.425,29.656,28.93,29.26,16978700,26.15308
2015-12-21,29.81,29.92,28.93,29.073,19499500,25.98593
2015-12-18,30.657,30.767,29.623,29.623,33955000,26.47753
2015-12-17,31.57,31.977,31.306,31.449,12145500,28.10964
2015-12-16,30.855,31.097,30.14,30.921,17819200,27.63771
2015-12-15,31.031,31.691,31.031,31.13,20248000,27.82451
2015-12-14,31.372,31.438,30.701,30.932,12095500,27.64754
2015-12-11,31.361,31.955,31.207,31.68,13611400,28.31611
2015-12-10,31.768,31.999,31.471,31.68,14509200,28.31611
2015-12-09,30.855,32.153,30.822,32.065,28990000,28.45474
2015-12-08,30.756,30.756,30.041,30.415,19659400,26.99052
2015-12-07,31.361,31.57,30.635,30.767,15780900,27.30289
2015-12-04,31.427,31.559,30.47,30.998,17580100,27.50788
2015-12-03,31.13,32.362,30.91,31.702,32461200,28.13261
2015-12-02,30.657,30.855,29.656,29.81,21114000,26.45364
2015-12-01,30.635,30.899,30.162,30.789,13189100,27.32241
2015-11-30,30.14,30.855,29.821,30.569,27729400,27.11254
2015-11-27,30.932,31.042,30.25,30.327,14944000,26.8979
2015-11-26,30.80,31.471,30.69,31.152,10485800,27.62962
2015-11-25,31.625,31.713,30.58,30.701,22725700,27.22961
2015-11-24,31.955,32.296,31.482,32.285,9766000,28.63451
2015-11-23,32.582,32.703,32.065,32.241,13596400,28.59548
2015-11-20,32.252,32.252,32.252,32.252,000,28.60524
2015-11-19,31.90,32.329,31.24,32.252,19256300,28.60524
2015-11-18,31.449,31.988,31.273,31.394,16319400,27.84426
2015-11-17,31.46,32.087,31.295,31.471,14270800,27.91255
2015-11-16,30.536,31.251,30.47,31.251,16907700,27.71742
2015-11-13,30.987,31.075,30.393,30.393,12990500,26.95644
2015-11-12,31.163,31.35,30.723,31.262,11687300,27.72718
2015-11-11,30.624,31.339,30.558,31.174,14353600,27.64913
2015-11-10,30.096,30.349,29.59,30.349,10469100,26.91741
2015-11-09,30.789,30.888,30.074,30.162,10967400,26.75156
2015-11-06,31.35,31.35,30.58,30.954,13217100,27.45401
2015-11-05,31.053,31.46,30.723,31.427,9820900,27.87352
2015-11-04,31.449,31.68,30.767,31.053,18291400,27.54181
2015-11-03,29.37,30.976,29.337,30.976,24996300,27.47352
2015-11-02,29.117,29.117,29.117,29.117,000,25.81008
2015-10-30,28.897,29.172,28.622,29.117,12047700,25.81008
2015-10-29,29.018,29.843,28.60,28.60,16406600,25.3518
2015-10-28,29.238,30.173,28.985,29.403,23709100,26.0636
2015-10-27,29.37,29.557,28.941,29.205,12184000,25.88809
2015-10-26,29.975,30.217,29.26,29.37,12075200,26.03435
2015-10-23,30.635,30.91,29.788,29.81,17475400,26.42438
2015-10-22,29.502,30.096,29.425,30.008,18397500,26.59989
2015-10-21,29.744,29.876,29.15,29.392,14971400,26.05385
2015-10-20,30.415,30.624,29.381,29.612,18311300,26.24886
2015-10-19,29.645,30.305,29.48,30.228,14737000,26.7949
2015-10-16,29.81,30.316,29.37,29.524,20120500,26.17086
2015-10-15,30.613,30.756,29.546,29.975,24016700,26.57064
2015-10-14,30.558,31.097,30.261,30.481,32213000,27.01917
2015-10-13,31.57,31.779,30.426,30.767,26662300,27.27269
2015-10-12,32.505,32.505,32.505,32.505,000,28.8133
2015-10-09,33.209,33.231,31.878,32.505,25162100,28.8133
2015-10-08,32.406,32.857,32.098,32.725,17916600,29.00831
2015-10-07,32.23,33.319,31.746,32.604,25307000,28.90105
2015-10-06,31.13,31.845,31.108,31.702,15996400,28.1015
2015-10-05,31.185,31.90,31.064,31.416,16146500,27.84798
2015-10-02,29.326,30.767,29.205,30.767,19922500,27.27269
2015-10-01,29.15,29.766,28.908,29.568,12524500,26.20986
2015-09-30,29.227,29.37,28.347,29.161,23467100,25.83446
2015-09-29,28.677,28.996,28.457,28.512,12419400,25.25949
2015-09-28,28.413,28.875,28.094,28.633,15949500,25.36669
2015-09-25,29.755,30.019,28.501,28.655,13096300,25.38618
2015-09-24,28.171,29.546,27.72,29.37,29559600,26.01962
2015-09-23,30.184,30.459,29.04,29.04,16045000,25.72726
2015-09-22,29.612,30.481,29.084,30.239,18998700,26.78949
2015-09-21,30.58,30.844,29.722,29.953,15484700,26.53611
2015-09-18,31.46,31.90,30.371,30.635,28361000,27.14031
2015-09-17,31.383,32.461,31.317,31.889,19805200,28.25126
2015-09-16,31.35,32.01,31.24,31.614,24672600,28.00763
2015-09-15,30.118,31.306,30.118,31.097,21903300,27.54961
2015-09-14,29.359,30.371,28.93,30.349,19326600,26.88694
2015-09-11,29.04,29.172,28.765,29.172,18929400,25.84421
2015-09-10,28.60,29.634,28.60,29.117,26813500,25.79548
2015-09-09,29.81,30.525,29.612,29.711,17078800,26.32172
2015-09-08,29.755,29.755,29.271,29.381,10450100,26.02936
2015-09-07,29.062,29.062,29.062,29.062,000,25.74675
2015-09-04,29.568,29.898,29.062,29.062,23586600,25.74675
2015-09-03,29.348,30.294,28.886,30.294,26001300,26.83821
2015-09-02,28.886,29.183,28.424,29.183,12646200,25.85395
2015-09-01,28.512,29.029,28.336,28.512,16759800,25.25949
2015-08-31,29.524,29.612,28.842,29.205,24406500,25.85882
2015-08-28,30.80,31.46,29.942,30.283,16584900,26.81331
2015-08-27,30.382,31.625,30.36,31.174,24284800,27.60222
2015-08-26,28.765,30.107,28.479,30.107,27331800,26.65748
2015-08-25,29.469,29.568,28.215,28.391,25647300,25.13809
2015-08-24,27.489,29.26,27.192,28.446,28060200,25.18679
2015-08-21,28.655,29.414,28.457,29.04,21251000,25.71273
2015-08-20,28.567,29.37,28.402,28.974,17361400,25.65429
2015-08-19,29.161,29.348,28.49,28.908,17078900,25.59585
2015-08-18,29.073,30.448,28.49,29.513,30163700,26.13153
2015-08-17,29.282,29.997,29.029,29.029,13408100,25.70299
2015-08-14,29.557,29.623,28.952,29.337,22791400,25.9757
2015-08-13,30.283,30.36,29.15,29.37,27174500,26.00492
2015-08-12,30.987,30.998,30.206,30.448,26160100,26.62241
2015-08-11,31.35,31.504,30.844,31.35,11552900,27.41108
2015-08-10,31.251,31.647,30.943,31.416,14733300,27.46879
2015-08-07,31.68,31.944,30.855,31.009,15004800,27.11293
2015-08-06,31.889,32.285,31.57,31.944,17059500,27.93045
2015-08-05,32.45,32.747,31.911,32.065,12192000,28.03625
2015-08-04,32.934,32.934,31.801,32.12,27332800,28.08434
2015-08-03,32.89,33.11,32.483,32.912,12981800,28.77683
2015-07-31,32.461,33.088,32.373,33.088,13249000,28.91629
2015-07-30,32.758,32.78,31.922,32.186,7595500,28.12801
2015-07-29,32.164,32.78,32.01,32.593,13675400,28.4837
2015-07-28,32.23,32.78,31.35,32.274,20711400,28.20492
2015-07-27,31.625,32.142,31.471,31.691,15684900,27.69542
2015-07-24,31.79,31.845,30.976,31.757,25590800,27.7531
2015-07-23,33.495,33.495,31.79,31.90,24166400,27.87807
2015-07-22,33.561,33.726,32.934,33.286,13070500,29.08933
2015-07-21,34.111,34.287,33.605,33.814,9058700,29.55075
2015-07-20,34.342,34.452,33.913,34.10,8818600,29.8007
2015-07-17,34.54,34.76,34.111,34.309,6582600,29.98335
2015-07-16,34.815,34.925,34.21,34.518,8792700,30.16599
2015-07-15,34.892,35.068,34.309,34.419,10578400,30.07948
2015-07-14,34.914,35.178,34.584,35.024,7516600,30.6082
2015-07-13,34.89002,35.32001,34.73998,35.00002,7697000,27.80658
2015-07-10,37.83997,38.28005,37.46596,38.14803,13693300,30.3076
2015-07-09,37.026,37.026,37.026,37.026,000,29.41617
2015-07-08,37.15801,37.51,36.84995,37.026,9100800,29.41617
2015-07-07,37.08106,37.53202,36.60807,37.45495,10952900,29.75696
2015-07-06,37.49899,38.04894,37.08106,37.31204,10116400,29.64343
2015-07-03,38.115,38.33498,37.83997,37.96097,4707000,30.15898
2015-07-02,38.21398,38.57698,37.96097,38.34599,10730100,30.46487
2015-07-01,37.89502,37.91704,37.43304,37.83997,11391900,30.06285
2015-06-30,37.88401,38.03804,37.47697,37.64201,11058000,29.89116
2015-06-29,37.47697,38.01602,37.29002,37.631,7577400,29.88241
2015-06-26,37.65302,38.478,37.65302,38.115,10387000,30.26675
2015-06-25,38.40105,38.45598,37.389,37.78503,12584900,30.00473
2015-06-24,38.39003,38.81898,38.18107,38.44497,12478400,30.52877
2015-06-23,38.24701,38.70899,37.994,38.31296,11424400,30.42395
2015-06-22,38.00501,38.31296,37.65302,37.93895,12860100,30.12695
2015-06-19,37.42203,38.08197,37.36698,37.82896,16375100,30.03961
2015-06-18,37.57607,38.478,37.13599,38.25802,9162300,30.38032
2015-06-17,37.76301,38.04894,37.18003,37.33395,17186700,29.64652
2015-06-16,37.11397,38.01602,36.92702,38.00501,21712600,30.17941
2015-06-15,36.30,36.70704,35.63995,36.70704,15578700,29.14871
2015-06-12,36.57503,36.93803,36.32202,36.51998,14825900,29.00016
2015-06-11,37.55404,37.66403,36.62997,36.905,16728900,29.3059
2015-06-10,36.61896,37.43304,36.58605,37.13599,26488500,29.48933
2015-06-09,36.40999,36.71793,36.04699,36.08002,13525800,28.65079
2015-06-08,36.80602,36.81703,36.30,36.31101,14207600,28.83422
2015-06-05,37.24598,37.36698,36.44302,36.46505,12756800,28.95654
2015-06-04,37.35597,37.35597,37.35597,37.35597,000,29.66401
2015-06-03,38.24701,38.24701,37.30103,37.35597,15286400,29.66401
2015-06-02,37.80693,38.44497,37.55404,38.32397,15330100,30.43269
2015-06-01,37.88401,38.08197,37.44394,37.48798,13618500,29.76884
2015-05-29,38.61001,38.61001,37.72998,37.76301,21918100,29.97283
2015-05-28,38.85201,38.99503,38.25802,38.72,9900000,30.7324
2015-05-27,38.69798,39.29197,38.09298,39.18198,15907600,31.09908
2015-05-26,38.74202,38.82999,38.22499,38.40105,13585700,30.47924
2015-05-25,38.93998,39.23703,38.54395,38.97301,8495100,30.93321
2015-05-22,39.37993,39.37993,38.78607,38.82999,25537100,30.8197
2015-05-21,39.73204,39.79799,39.15996,39.66598,19941500,31.48323
2015-05-20,40.45805,40.62297,39.86394,40.14998,21282300,31.86738
2015-05-19,41.35998,41.84398,40.23807,40.87598,12603000,32.44362
2015-05-18,42.65807,42.65807,41.17304,41.45896,25773000,32.90633
2015-05-15,41.69007,42.61402,41.69007,42.592,8741000,33.80564
2015-05-14,41.43693,41.96498,41.19493,41.81107,13098000,33.1858
2015-05-13,41.503,41.91004,41.261,41.40402,12170600,32.86273
2015-05-12,41.46997,42.06396,41.382,41.69007,13304200,33.08977
2015-05-11,42.20698,42.35,41.55806,41.87701,8050900,33.23815
2015-05-08,42.11901,42.13002,41.03001,42.07497,15538700,33.39527
2015-05-07,41.04103,41.52502,40.81003,41.52502,13456800,32.95877
2015-05-06,42.48201,42.80097,40.92002,41.35998,19512500,32.82777
2015-05-05,42.56998,43.16397,41.91004,42.42696,16036400,33.67464
2015-05-04,42.62503,43.35104,42.58099,42.84501,11641300,34.00645
2015-05-01,42.38304,42.38304,42.38304,42.38304,000,33.62537
2015-04-30,41.91004,42.55897,41.69007,42.38304,11363600,33.62537
2015-04-29,42.27305,42.63605,41.83297,42.08598,10490300,33.3897
2015-04-28,42.48201,42.80097,41.81107,42.66896,13927700,33.85221
2015-04-27,42.87805,43.45001,42.05307,42.24001,12355800,33.5119
2015-04-24,41.70096,43.38395,41.64603,43.04297,25750400,34.14894
2015-04-23,40.18301,41.745,39.89697,41.69007,14737500,33.0756
2015-04-22,39.60003,40.86497,39.49004,40.58993,14645900,32.20278
2015-04-20,40.34806,40.44703,39.33601,39.49004,19046600,31.33016
2015-04-17,40.28199,40.48007,40.12796,40.16099,12128800,31.86247
2015-04-16,40.78801,40.87598,40.44703,40.67802,11168500,32.27267
2015-04-15,40.777,41.06305,40.27098,40.98597,10922000,32.51698
2015-04-14,40.61196,40.73296,39.83103,40.40299,10449400,32.05447
2015-04-13,40.58993,40.99698,40.16099,40.40299,10708700,32.05447
2015-04-10,40.14998,40.92002,39.93,40.72195,10448400,32.30752
2015-04-09,40.36996,40.63398,39.82001,40.42501,22070900,32.07194
2015-04-08,41.41503,41.75601,41.11798,41.24999,14626200,32.72645
2015-04-07,40.81003,41.24999,40.60107,41.05203,12165200,32.5694
2015-04-06,41.10697,41.21696,40.54601,41.03001,10474700,32.55193
2015-04-02,40.09504,41.08507,40.09504,40.535,13622700,32.1592
2015-04-01,39.37993,40.42501,39.24805,40.14998,16612800,31.85374
2015-03-31,38.115,39.14895,37.92794,38.841,14521900,30.80083
2015-03-30,37.40001,38.48901,37.32294,38.48901,12639200,30.52171
2015-03-27,37.91704,37.91704,36.96006,37.23497,15769900,29.52725
2015-03-26,38.58799,38.79696,37.752,37.89502,13810300,30.05068
2015-03-25,39.27007,39.89697,38.55496,38.99503,17216500,30.92298
2015-03-24,39.27007,39.69901,38.599,39.02807,12597300,30.94918
2015-03-23,39.47903,39.71002,38.67596,39.27007,10828100,31.14109
2015-03-20,39.60003,40.10606,39.43499,39.52296,17039200,31.34163
2015-03-19,39.325,39.41297,38.58799,39.19299,11016100,31.07996
2015-03-18,38.10399,39.60003,37.78503,39.43499,18513400,31.27187
2015-03-17,37.389,38.28005,37.13599,38.28005,19420200,30.356
2015-03-16,37.45495,37.69707,36.76198,37.21307,11940900,29.50989
2015-03-13,36.542,37.29002,36.44302,37.21307,20588500,29.50989
2015-03-12,37.61999,37.82896,37.16902,37.40001,17142500,29.65813
2015-03-11,36.33303,37.30103,36.30,37.24598,27633800,29.53599
2015-03-10,36.905,37.45495,36.02497,36.02497,32673300,28.56773
2015-03-09,37.61999,38.19196,36.80602,37.49899,21732800,29.73662
2015-03-06,39.29197,39.77597,38.12601,38.50002,19459700,30.53044
2015-03-05,39.84203,40.14998,39.18198,39.55599,11597400,31.36782
2015-03-04,39.74306,40.08403,39.52296,39.90798,17603400,31.64695
2015-03-03,39.91899,40.25997,39.58902,40.25997,8851500,31.92607
2015-03-02,40.03999,40.40299,39.61105,39.95202,12770400,31.68187
2015-02-27,40.58993,41.32695,39.89697,40.14998,19981500,31.82446
2015-02-26,40.42501,40.57905,39.79799,40.57905,8275800,32.16455
2015-02-25,39.76496,40.38097,39.54498,40.38097,9204900,32.00755
2015-02-24,40.12796,40.28199,39.37993,40.28199,10647700,31.9291
2015-02-23,38.87403,40.13897,38.87403,39.86394,10322200,31.59773
2015-02-20,39.60003,39.62193,38.79696,39.47903,6683700,31.29264
2015-02-19,39.12704,39.67699,38.88504,39.27007,8560700,31.12701
2015-02-18,39.83103,39.98493,39.06098,39.28096,12684500,31.13564
2015-02-13,38.03804,39.07199,37.89502,39.04997,13571600,30.95255
2015-02-12,37.22396,37.98299,37.07005,37.79605,12681300,29.95864
2015-02-11,37.76301,37.94996,36.421,36.82804,13372800,29.19136
2015-02-10,38.93998,39.21501,38.39003,38.39003,12717700,29.6197
2015-02-09,38.29106,39.00605,38.29106,38.88504,13578700,30.00162
2015-02-06,38.50002,38.841,38.05995,38.64304,18626300,29.8149
2015-02-05,38.88504,39.35804,38.50002,38.73101,20718100,29.88278
2015-02-04,37.64201,39.29197,37.40001,39.06098,26456100,30.13736
2015-02-03,37.93895,38.13702,37.48798,37.67505,19806100,29.06805
2015-02-02,36.542,36.71793,35.91498,36.65199,12741000,28.27871
2015-01-30,35.99193,36.38797,35.71702,36.19001,19667600,27.90827
2015-01-29,37.29002,37.44394,36.09103,36.70704,13247600,28.30699
2015-01-28,37.29002,38.08197,36.94904,36.96006,12476000,28.5021
2015-01-27,37.72998,38.02703,36.91601,37.72998,13768400,29.09583
2015-01-26,37.25699,37.94996,36.97107,37.873,10717700,29.20612
2015-01-23,38.04894,38.50002,37.08106,37.43304,12261100,28.86685
2015-01-22,38.04894,38.50002,37.58696,37.79605,13508300,29.14678
2015-01-21,37.07005,37.873,36.48707,37.60898,15861800,29.00252
2015-01-20,37.01499,37.147,36.25596,36.53099,9984500,28.17122
2015-01-19,37.52101,37.98299,36.24495,36.40999,9125100,28.07791
2015-01-16,37.30103,37.97198,36.96006,37.77402,15259400,29.1298
2015-01-15,37.61999,38.67596,37.19105,37.20193,14263500,28.68863
2015-01-14,36.96006,38.09298,36.84995,37.53202,13405400,28.94318
2015-01-13,37.631,38.26903,37.27901,37.27901,15258900,28.74806
2015-01-12,38.05995,38.42307,37.268,37.32294,11990700,28.78194
2015-01-09,39.65497,39.76496,38.13702,38.24701,10125200,29.49455
2015-01-08,39.60003,40.14998,38.74202,39.99607,12638800,30.84335
2015-01-07,38.50002,39.97405,38.50002,39.37993,14026700,30.36821
2015-01-06,37.40001,38.00501,36.99297,38.00501,16508100,29.30793
2015-01-05,36.62997,37.78503,36.34404,37.40001,13963700,28.84138
2015-01-02,37.67505,38.29106,36.87197,37.21307,12441200,28.69721
2014-12-30,38.48901,38.61001,37.994,38.05995,9576800,29.33629
2014-12-29,38.00501,38.61001,37.97198,38.28005,10159400,29.50594
2014-12-26,38.478,38.90695,38.115,38.17006,4811200,29.42116
2014-12-23,38.61001,38.72,37.94996,38.72,8132300,29.84506
2014-12-22,38.50002,38.55496,37.43304,38.54395,8749000,29.70936
2014-12-19,38.17006,38.48901,37.59797,38.28005,10347100,29.50594
2014-12-18,38.22499,38.97301,37.32294,37.69707,12247800,29.05659
2014-12-17,36.32202,38.76405,36.32202,37.98299,25484100,29.27698
2014-12-16,35.71702,36.82804,35.19999,36.15698,23095700,27.8695
2014-12-15,37.51,37.67505,35.75006,36.33303,21021800,28.0052
2014-12-12,38.76405,39.14895,37.11397,37.12498,14632900,28.61563
2014-12-11,38.79696,39.325,38.26903,39.21501,11626800,30.22661
2014-12-10,39.204,39.28096,38.28005,38.77493,10071000,29.8874
2014-12-09,38.69798,39.76496,38.62102,39.36905,16749300,30.34534
2014-12-08,40.70004,40.777,38.72,39.21501,9081800,30.22661
2014-12-05,40.28199,40.86497,39.75395,40.73296,8652200,31.39663
2014-12-04,40.95306,40.97496,39.54498,39.97405,9895100,30.81166
2014-12-03,40.414,40.86497,40.051,40.57905,8172700,31.27799
2014-12-02,41.09596,41.33796,39.58902,40.23807,490654800,31.01517
2014-12-01,41.70096,41.75601,39.96304,40.57905,641485400,31.27799
2014-11-28,42.86703,43.30699,42.37202,42.56998,9763700,32.7986
2014-11-27,43.28497,43.88997,42.24001,42.61402,8416300,32.83253
2014-11-26,43.99996,44.07703,43.00993,43.25193,12069700,33.32402
2014-11-25,43.56,44.19804,42.80097,43.61493,13875000,33.6037
2014-11-24,44.55002,44.85797,42.87805,43.06499,18259600,33.17999
2014-11-21,41.45896,44.33004,41.42605,43.97806,28773200,33.88347
2014-11-19,39.89697,41.41503,39.66598,41.261,14952100,31.79008
2014-11-18,38.70899,39.96304,38.20297,39.66598,9929300,30.56117
2014-11-17,38.92897,39.33601,38.236,38.54395,8403400,29.69669
2014-11-14,38.29106,39.14895,37.68606,38.82999,13528900,29.91708
2014-11-13,40.33704,40.44703,38.61001,38.64304,9424600,29.77304
2014-11-12,39.31399,40.83193,39.11604,39.93,10753200,30.76459
2014-11-11,39.25894,40.14998,39.04997,39.63307,6977000,30.53582
2014-11-10,40.24896,40.52399,39.49004,39.65497,8196200,30.55269
2014-11-07,39.02807,39.85305,38.63203,39.76496,11329700,30.63744
2014-11-06,40.36996,40.36996,38.91796,39.10502,13276800,30.12898
2014-11-05,40.48007,41.21696,40.36996,40.57905,10495300,31.26466
2014-11-04,41.63501,41.745,40.22693,41.03001,21349600,31.61211
2014-11-03,39.97405,40.50197,39.33601,40.25997,16359600,31.01882
2014-10-31,39.37993,40.42501,39.204,40.40299,20063800,31.11503
2014-10-30,37.29002,39.13806,37.29002,39.13806,27722200,30.14088
2014-10-29,37.00398,37.66403,36.10204,36.21203,14025800,27.8875
2014-10-28,36.56402,37.42203,36.13496,37.29002,18579100,28.71768
2014-10-27,35.66197,35.66197,35.66197,35.66197,51381000,27.46389
2014-10-24,35.54097,37.67505,35.35402,36.46505,29354700,28.08235
