Data;Taxa 30d;Taxa 180d;Taxa 360d
01/04/2002;18,46;18,41;18,56
02/04/2002;18,44;18,41;18,6
03/04/2002;18,45;18,48;18,72
04/04/2002;18,45;18,5;18,73
05/04/2002;18,44;18,46;18,61
08/04/2002;18,35;18,38;18,56
09/04/2002;18,32;18,29;18,46
10/04/2002;18,32;18,29;18,48
11/04/2002;18,3;18,24;18,43
12/04/2002;18,27;18,2;18,36
15/04/2002;18,31;18,31;18,52
16/04/2002;18,3;18,27;18,49
17/04/2002;18,26;18,25;18,52
18/04/2002;18,46;18,58;18,99
19/04/2002;18,44;18,57;18,95
22/04/2002;18,5;18,75;19,31
23/04/2002;18,49;18,77;19,42
24/04/2002;18,45;18,7;19,36
25/04/2002;18,47;18,79;19,49
26/04/2002;18,47;18,96;19,79
29/04/2002;18,47;19,04;19,88
30/04/2002;18,33;18,92;19,79
02/05/2002;18,46;19;20,04
03/05/2002;18,4;18,94;20,01
06/05/2002;18,38;18,92;19,97
07/05/2002;18,37;18,9;19,97
08/05/2002;18,33;18,85;20,03
09/05/2002;18,36;18,83;20,34
10/05/2002;18,3;18,81;20,42
13/05/2002;18,33;19,03;20,94
14/05/2002;18,39;18,93;20,74
15/05/2002;18,38;18,8;20,53
16/05/2002;18,29;18,61;20,13
17/05/2002;18,3;18,67;20,21
20/05/2002;18,3;18,68;20,28
21/05/2002;18,27;18,71;20,38
22/05/2002;18,34;18,87;20,76
23/05/2002;18,32;18,87;20,68
24/05/2002;18,32;18,76;20,49
27/05/2002;18,34;18,79;20,59
28/05/2002;18,27;18,63;20,28
29/05/2002;18,22;18,54;20,04
31/05/2002;18,2;18,47;19,9
03/06/2002;18,07;18,51;20,22
04/06/2002;17,87;18,9;21,07
05/06/2002;17,82;18,9;20,84
06/06/2002;18,13;19,57;21,7
07/06/2002;18,29;19,5;21,79
10/06/2002;18,28;19,13;21,38
11/06/2002;18,53;20,17;22,96
12/06/2002;20,51;22,2;25,25
13/06/2002;19,16;22,19;25,95
14/06/2002;19,24;22,72;27,36
17/06/2002;18,74;21,57;26,65
18/06/2002;18,88;22,72;26,83
19/06/2002;18,77;23,68;28,58
20/06/2002;18,96;23,83;28,98
21/06/2002;20,41;25,99;31,3
24/06/2002;18,63;25,48;30,22
25/06/2002;19,03;24,98;29,67
26/06/2002;18,99;25;29,7
27/06/2002;18,71;23,15;27,47
28/06/2002;18,61;22,64;26,21
01/07/2002;18,85;24,53;28,63
02/07/2002;18,9;24,2;28,98
03/07/2002;18,93;23,79;27,28
04/07/2002;18,91;24,12;27,73
05/07/2002;18,87;24,76;27,98
08/07/2002;18,84;23,99;27,12
09/07/2002;18,84;23,99;27,12
10/07/2002;18,83;23,66;26,89
11/07/2002;18,71;22,94;26,3
12/07/2002;18,56;22,62;25,75
15/07/2002;18,63;23,15;26,55
16/07/2002;18,67;23,51;27,28
17/07/2002;18,29;22,36;26,32
18/07/2002;18,29;21,54;25,14
19/07/2002;18,31;21,55;24,86
22/07/2002;18,4;22,37;26,31
23/07/2002;18,57;23,29;27,43
24/07/2002;18,44;22,95;27,13
25/07/2002;18,52;23,2;27,31
26/07/2002;18,75;24,02;28,06
29/07/2002;20,72;26,55;30,34
30/07/2002;20,48;26,93;29,94
31/07/2002;19,7;26,13;29,01
01/08/2002;19,8;26,18;28,88
02/08/2002;19;25,25;27,91
05/08/2002;19,58;25,88;28,49
06/08/2002;19,11;25,59;28,43
07/08/2002;18,81;24,79;27,51
08/08/2002;18,55;22,94;25,55
09/08/2002;18,94;24,45;27,03
12/08/2002;19,09;24,72;27,23
13/08/2002;18,73;24,19;26,69
14/08/2002;18,58;23,55;26,18
15/08/2002;18,67;23,89;26,48
16/08/2002;18,51;23,42;26,1
19/08/2002;18,42;23,33;25,87
20/08/2002;18,37;23,02;25,65
21/08/2002;18,34;23,08;25,81
22/08/2002;18,31;23,52;26,45
23/08/2002;18,15;23,24;26,28
26/08/2002;18,14;22,36;25,25
27/08/2002;18,18;22,5;25,31
28/08/2002;18,08;21,8;24,42
29/08/2002;17,96;21,49;23,87
30/08/2002;18,02;21,22;23,42
02/09/2002;18,04;21,58;23,87
03/09/2002;18,05;22;24,32
04/09/2002;18,13;21,92;24,3
05/09/2002;18,21;22,34;24,58
06/09/2002;18,31;22,36;24,4
09/09/2002;18,3;21,37;22,89
10/09/2002;18,45;21,69;23,43
11/09/2002;18,39;21,59;23,24
12/09/2002;18,39;21,69;23,53
13/09/2002;18,34;22,04;24,14
16/09/2002;18,55;22,76;24,86
17/09/2002;18,47;22,86;25,1
18/09/2002;18,62;23,28;25,64
19/09/2002;18,86;24,16;26,69
20/09/2002;18,64;23,55;26,21
23/09/2002;18,79;24,56;27,43
24/09/2002;19,09;24,61;27,68
25/09/2002;18,88;24,04;27,22
26/09/2002;18,74;23,79;27,41
27/09/2002;19,07;24,65;28,83
30/09/2002;19,25;24,96;29,94
01/10/2002;18,63;23,6;29,04
02/10/2002;18,58;23,76;29,55
03/10/2002;18,73;24,11;30,43
04/10/2002;18,55;23,27;29,02
07/10/2002;18,74;23,37;28,97
08/10/2002;18,77;23,14;28,53
09/10/2002;19,01;23,81;29,08
10/10/2002;19,06;24,17;29,48
11/10/2002;19,51;24,66;29,82
14/10/2002;23,4;26,75;30,85
15/10/2002;24,4;28,43;32,69
16/10/2002;23,3;26,68;30,76
17/10/2002;23,3;26,59;29,96
18/10/2002;22,83;25,94;28,99
21/10/2002;22,55;25,59;28,62
22/10/2002;22,52;25,53;28,87
23/10/2002;22,04;25,46;28,97
24/10/2002;22;25,49;29,2
25/10/2002;21,87;25,42;29,03
28/10/2002;21,95;25,87;29,12
29/10/2002;22,08;26,38;29,91
30/10/2002;22,23;26,29;29,86
31/10/2002;21,93;26,13;29,7
01/11/2002;21,7;25,92;29,82
04/11/2002;21,81;23,77;30,06
05/11/2002;21,9;26,26;30,52
06/11/2002;22,29;26,88;31,85
07/11/2002;22,27;26,74;31,6
08/11/2002;22,26;26,57;31,52
11/11/2002;22,25;26,49;31,33
12/11/2002;22,6;27,26;31,96
13/11/2002;23,02;27,71;32,39
14/11/2002;23,06;27,71;32,51
18/11/2002;22,96;27,67;32,24
19/11/2002;22,92;26,97;31,45
20/11/2002;22,56;26,51;30,58
21/11/2002;22,63;26,7;30,53
22/11/2002;22,67;26,95;30,65
25/11/2002;22,54;26,98;30,58
26/11/2002;22,64;27,14;30,8
27/11/2002;22,71;27,22;30,8
28/11/2002;22,9;27,78;31,41
29/11/2002;23,12;27,61;30,9
02/12/2002;23,23;27,99;30,97
03/12/2002;23,45;28,33;31,03
04/12/2002;23,56;28,31;31,39
05/12/2002;23,87;28,75;31,92
06/12/2002;23,77;28,37;31,48
09/12/2002;24,01;28,78;31,88
10/12/2002;24,07;28,99;32,27
11/12/2002;24,26;28,4;31,58
