Date,Open,High,Low,Close,Volume,Adj Close
2013-01-01,40.87,40.87,40.87,40.87,000,33.70261
2012-12-31,40.87,40.87,40.87,40.87,000,33.70261
2012-12-28,40.84,41.01,40.46,40.87,7137100,33.70261
2012-12-27,40.87,41.12,40.35,40.80,7810400,33.64489
2012-12-26,40.35,41.00,40.35,40.69,5833000,33.55418
2012-12-25,40.50,40.50,40.50,40.50,000,33.3975
2012-12-24,40.50,40.50,40.50,40.50,000,33.3975
2012-12-21,39.99,40.51,39.76,40.50,10118600,33.3975
2012-12-20,40.40,40.94,40.03,40.81,9494700,33.65314
2012-12-19,41.20,41.25,40.16,40.51,17423100,33.40574
2012-12-18,40.59,41.20,40.54,41.00,18394400,33.80981
2012-12-17,39.60,40.55,39.56,40.31,23639600,33.24082
2012-12-14,38.75,39.75,38.72,39.75,26035500,32.77903
2012-12-13,38.15,38.73,38.01,38.53,19507100,31.77298
2012-12-12,38.13,38.80,38.10,38.38,19977300,31.64929
2012-12-11,37.56,38.25,37.40,38.18,21148000,31.48436
2012-12-10,36.89,37.55,36.59,37.43,12172300,30.86589
2012-12-07,36.63,37.20,36.63,36.92,13391800,30.44532
2012-12-06,36.58,36.90,36.37,36.59,11389600,30.1732
2012-12-05,36.50,36.70,36.19,36.69,17768900,30.25566
2012-12-04,36.75,36.75,35.83,36.06,14346600,29.73614
2012-12-03,36.92,36.92,36.10,36.68,21735900,30.24741
2012-11-30,36.50,36.81,35.98,36.70,22221200,30.26391
2012-11-29,35.66,36.71,35.55,36.60,27561500,30.18144
2012-11-28,35.50,35.68,34.96,35.22,18358600,29.04346
2012-11-27,35.87,36.17,35.40,35.73,16997900,29.46402
2012-11-26,35.89,35.94,35.35,35.73,13553500,29.46402
2012-11-23,35.35,36.34,35.20,35.91,10650900,29.61245
2012-11-22,35.63,35.73,35.29,35.42,6462000,29.20838
2012-11-21,35.25,35.57,34.84,35.44,21797200,29.22487
2012-11-20,35.07,35.07,35.07,35.07,000,28.91976
2012-11-19,34.98,35.50,34.85,35.07,21942100,28.91976
2012-11-16,35.30,35.31,34.50,34.65,20674400,28.57342
2012-11-15,35.63,35.63,35.63,35.63,000,29.38155
2012-11-14,35.89,36.27,35.22,35.63,15883500,29.38155
2012-11-13,35.83,36.37,35.41,36.30,18650100,29.93405
2012-11-12,36.19,36.47,35.80,36.03,9519000,29.7114
2012-11-09,36.02,36.46,35.70,36.33,14014600,29.9588
2012-11-08,36.92,37.12,35.90,36.06,16509300,29.73614
2012-11-07,37.07,37.14,36.30,36.81,16124400,30.35462
2012-11-06,37.08,37.35,36.77,37.20,14174800,30.67622
2012-11-05,36.71,37.06,36.50,36.93,11176800,30.45357
2012-11-02,37.17,37.17,37.17,37.17,000,30.65148
2012-11-01,36.22,37.17,36.12,37.17,14847600,30.65148
2012-10-31,36.50,36.55,35.88,36.35,14306000,29.97528
2012-10-30,36.11,36.59,36.11,36.37,7907000,29.99178
2012-10-29,35.70,36.12,35.52,36.09,7036300,29.76088
2012-10-26,35.90,36.27,35.70,35.95,15566200,29.64543
2012-10-25,35.70,36.20,35.35,36.20,31491900,29.85159
2012-10-24,34.62,34.79,34.07,34.29,13386000,28.27655
2012-10-23,34.91,35.09,34.30,34.56,15776000,28.4992
2012-10-22,35.60,35.89,35.13,35.40,9481200,29.19189
2012-10-19,35.95,36.13,35.33,35.53,13725100,29.29909
2012-10-18,36.00,36.25,35.69,36.15,17453900,29.81036
2012-10-17,36.20,36.67,35.96,36.33,27434200,29.9588
2012-10-16,36.43,37.46,36.35,36.95,26721400,29.49163
2012-10-15,36.01,36.34,35.78,36.21,19474500,28.90099
2012-10-12,36.20,36.20,36.20,36.20,000,28.89301
2012-10-11,36.22,36.45,35.90,36.20,15845800,28.89301
2012-10-10,36.37,38.62,35.76,35.85,14888500,28.61366
2012-10-09,36.56,36.69,36.17,36.28,20114500,28.95686
2012-10-08,34.85,36.01,34.56,36.01,16515100,28.74136
2012-10-05,35.65,35.84,34.80,34.98,12760400,27.91927
2012-10-04,34.48,35.47,34.16,35.02,23826200,27.9512
2012-10-03,35.23,35.36,34.46,34.69,15110300,27.68781
2012-10-02,35.55,35.89,34.86,35.15,12733100,28.05496
2012-10-01,35.38,36.15,35.15,35.24,12342400,28.12679
2012-09-28,35.55,35.77,35.02,35.27,16667800,28.15073
2012-09-27,36.36,36.46,35.81,35.85,14258400,28.61366
2012-09-26,35.40,36.20,35.25,35.94,14365400,28.68549
2012-09-25,36.87,36.96,35.71,35.83,18003800,28.5977
2012-09-24,36.50,37.03,36.21,36.84,19294900,29.40383
2012-09-21,37.81,37.96,36.66,36.83,15469700,29.39585
2012-09-20,37.30,37.87,36.96,37.56,16359900,29.9785
2012-09-19,38.18,38.63,37.59,37.83,18772100,30.194
2012-09-18,38.15,38.40,37.65,38.25,15084600,30.52922
2012-09-17,37.60,38.47,37.35,38.06,26588500,30.37757
2012-09-14,37.50,38.50,37.31,37.70,42649700,30.09024
2012-09-13,36.00,37.64,35.70,37.29,34913200,29.763
2012-09-12,36.20,36.66,35.58,36.28,24912200,28.95686
2012-09-11,35.17,36.17,35.11,36.04,27111100,28.76531
2012-09-10,35.10,35.10,35.10,35.10,000,28.01505
2012-09-07,34.09,34.09,34.09,34.09,000,27.20892
2012-09-06,32.76,34.12,32.76,34.09,28121400,27.20892
2012-09-05,32.29,32.75,32.00,32.56,17340600,25.98775
2012-09-04,32.95,33.00,31.73,32.12,19661500,25.63656
2012-09-03,33.40,33.40,32.82,33.09,7901900,26.41077
2012-08-31,32.88,33.24,32.55,33.18,25180800,26.4826
2012-08-30,32.15,32.47,32.01,32.32,17782100,25.79619
2012-08-29,33.25,33.35,31.95,32.46,29372000,25.90793
2012-08-28,33.08,33.64,33.08,33.38,16231700,26.64223
2012-08-27,34.00,34.00,33.16,33.39,12597600,26.65021
2012-08-24,33.94,34.05,33.21,33.92,27362600,27.07323
2012-08-23,34.91,35.07,34.02,34.19,22324500,27.28873
2012-08-22,35.06,35.57,34.81,35.31,20146400,28.18266
2012-08-21,36.10,36.44,35.14,35.27,18742100,28.15073
2012-08-20,34.91,34.91,34.91,34.91,000,27.8634
2012-08-17,36.07,36.09,34.91,34.91,20430800,27.8634
2012-08-16,35.94,35.98,35.30,35.92,17604000,28.66953
2012-08-15,36.05,36.38,35.34,35.50,20835800,28.33431
2012-08-14,37.50,37.74,36.07,36.24,20598700,28.92494
2012-08-13,37.71,38.05,37.48,37.66,10031000,30.05831
2012-08-10,37.39,37.83,37.03,37.66,14183500,30.05831
2012-08-09,37.06,37.83,37.05,37.55,12831700,29.97051
2012-08-08,36.75,37.48,36.75,37.27,13630000,29.74703
2012-08-07,37.21,37.40,36.80,36.91,13306200,29.4597
2012-08-06,36.70,37.37,36.33,36.90,14123600,29.45172
2012-08-03,36.80,36.90,36.40,36.50,14379700,29.13246
2012-08-02,35.89,36.70,35.80,36.08,13800400,28.79724
2012-08-01,36.62,37.00,36.01,36.55,14792600,29.17236
2012-07-31,36.96,37.10,36.40,36.40,16505000,29.05264
2012-07-30,36.70,36.80,36.21,36.71,12023000,29.30007
2012-07-27,35.70,36.92,35.70,36.80,28538000,29.3719
2012-07-26,34.61,35.68,33.92,35.39,34444300,28.24651
2012-07-25,35.48,35.69,34.32,35.12,22761700,28.03101
