Date,Open,High,Low,Close,Adj Close,Volume
2017-08-07,21703.900391,21802.470703,21458.130859,21478.439453,21478.439453,0
2017-08-08,21478.439453,21559.980469,21220.009766,21255.710938,21255.710938,0
2017-08-09,21255.710938,21265.890625,20845.220703,20924.990234,20924.990234,0
2017-08-10,20924.990234,21228.779297,20904.589844,21132.970703,21132.970703,0
2017-08-11,21132.970703,21729.029297,21129.109375,21632.980469,21632.980469,0
2017-08-14,21632.980469,22561.619141,21632.980469,22539.960938,22539.960938,0
2017-08-15,22539.960938,22719.359375,22237.240234,22702.380859,22702.380859,0
2017-08-16,22702.380859,22911.099609,22656.869141,22887.939453,22887.939453,0
2017-08-17,22887.939453,22919.039063,22690.490234,22724.480469,22724.480469,0
2017-08-18,22724.480469,23153.640625,22654.439453,22967.349609,22967.349609,0
2017-08-22,22967.349609,23091.539063,22863.390625,22900.179688,22900.179688,0
2017-08-23,22900.179688,23279.740234,22865.380859,23262.380859,23262.380859,0
2017-08-24,23262.380859,23410.589844,23167.080078,23392.500000,23392.500000,0
2017-08-25,23392.500000,23573.640625,23392.500000,23500.949219,23500.949219,0
2017-08-28,23500.949219,23597.660156,23444.449219,23482.050781,23482.050781,0
2017-08-29,23482.050781,23482.599609,23279.570313,23443.589844,23443.589844,0
2017-08-30,23443.589844,23534.000000,23416.109375,23491.810547,23491.810547,0
2017-08-31,23491.810547,23642.070313,23485.009766,23588.980469,23588.980469,0
2017-09-01,23588.980469,23721.089844,23573.990234,23657.640625,23657.640625,0
2017-09-04,23657.640625,23751.269531,23527.869141,23707.769531,23707.769531,0
2017-09-05,23730.970703,24060.580078,23706.460938,24025.939453,24025.939453,0
